"Code","Contact_URL","Typical_Duration","Min_UOC_For_Award","Program_Description","Program_Structure"
"8147","http://www.be.unsw.edu.au/","1.5 Years  ","72"," From 2016 this program will be replaced with 8148 Master of City PlanningProgram SummaryPlanning is a dynamic activity that impinges on many aspects of everyday life in metropolitan and rural areas. Planning as a general term can mean an activity that seeks to provide an alternative to uncoordinated and ad hoc decision-making. For cities, suburbs and regions, planning targets the development, improvement, conservation and general management of the environment. There are in fact many specialist areas of planning: land use, social, transport, regional, and so on. The MPlan degree addresses many of these aspects. Core courses cover skill and knowledge areas essential for practising planners. The program has been structured to offer the option of taking a general degree or a concentration in one of four fields (Environmental Sustainability; Urban Management and Governance; Urban Design; and Urban Modelling) by choice of electives and topic of the Planning Project. The Planning Project provides an opportunity for students to undertake more detailed applied or theoretical research into an area of planning of personal interest by producing a dissertation of publishable quality.          The programs are available to suitably qualified local and international students and provide opportunities for full-time or part-time study.Admission RequirementsA relevant Bachelor’s degree in one of the following subject areas with a minimum of a credit average.Built Environment subject areas Social, economic and environmental science subject areasLaw/JurisprudenceEnvironmental and Civil Engineering subject areasApplicants with Bachelors degrees in other subject areas but who have been working in an urban planning environment (either as a planner or planning-related field) for one year or more may also be considered. Where an applicants qualifications are not considered adequate, admission may be permitted to the Graduate Certificate or Graduate Diploma, with the possibility of upgrading to the Masters program, subject to satisfactory performance.Career OpportunitiesPlanners are employed under many different labels in many different organisations with some stake in the built environment. The major employment sectors are state and federal government departments (dealing with land use, development, transport, heritage, infrastructure, urban services etc), local councils, consultant planners, property companies, and environmental organisations.  There is an increasing demand for planners and other built environment professionals with appropriate knowledge and skills that the MPlan Program offers.","The MPlan Program is taken over three academic semesters (full-time equivalent), and requires the successful completion of 11 courses totalling 72 units of credit.  The 72uoc in the Program comprise seven core courses (42uoc), a Planning Project (12uoc), and three electives (18uoc). The MPlan Program offers an articulated coursework Planning degree.  That is, students may elect to enrol in the Graduate Certificate in Planning (24uoc), consisting of at least three core courses (18uoc), and progress to the Graduate Diploma in Planning (48uoc), consisting of the remaining core courses and one elective if required, or the MPlan (72uoc) by completing the remaining elective requirements of this degree.Core courses cover skill and knowledge areas deemed crucial for practising planners.  The Program has been structured to offer the option of either taking a general degree or specialising in one of four fields of study.  Depending on the choice of electives and 12uoc Planning Project, a general MPlan degree may be taken, or one with a concentration in the following fields of study: Environmental Sustainability; Urban Management and Governance; Urban Design; and Urban Modelling.Year 1 Semester 1PLAN7140 Land & Environment Law (6 UOC)PLAN7146 City Econ,Urban Dev & Fin (6 UOC)SUSD0004 Human Factors, Sustain & Habit (6 UOC)Elective Course (see list below)Year 1 Semester 2PLAN7141 Land Use Policy & Practice (6 UOC)PLAN7142 City Equity & Wellbeing (6 UOC)PLAN7148 Strategic Spatial Planning (6 UOC)Elective Course (see list below)Year 2 Semester 1PLAN7122 Planning Project (12 UOC)PLAN7123 Urban Planning & Infrastruct (6 UOC)Elective Course (see list below)Elective CoursesStudents have the opportunity to concentrate their studies in one of four particular fields:Environmental Sustainability StreamCVEN9888 Environmental Management (6 UOC)IEST5001 Frameworks for Env. Mgt. (6 UOC)IEST5002 Tools for Env. Management (6 UOC)SUSD0001 Sustainable Dev & Urban Envir (6 UOC)SUSD0003 Energy & the Built Environment (6 UOC)Urban Governance and Management StreamBENV7724 Transport, Land Use & Env (6 UOC)PLAN7156 Housing Policy (6 UOC)REST0006 Property Development (6 UOC)UDES0006 Case Stud in Urb Dev & Design (6 UOC)UDES0009 Urban Landscape & Heritage (6 UOC)Urban Design StreamARCH7304 Architecture and the City (6 UOC)BEIL6002 Urban and Regional Design (6 UOC)UDES0001 Urban Design Studio (12 UOC)UDES0004 Hist & Theory of Urban Dev (6 UOC)UDES0006 Case Stud in Urb Dev & Design (6 UOC)UDES0009 Urban Landscape & Heritage (6 UOC)Urban Modelling StreamBENV7724 Transport, Land Use & Env (6 UOC)BENV7728 GIS for Built Environment (6 UOC)CVEN9405 Urban Transport Planning Prac (6 UOC)GEOS9016 Principles of Geog Inf Systems (6 UOC)"
"8281","mailto:sam@unsw.edu.au","2 Years  ","96","This program is for students commencing prior to 2018.Students commencing from 2018 should refer to program 8282 Master of Public Relations and Advertising.The Master of Public Relations and Advertising (MPRA) will provide graduates or those seeking to change careers a professionally relevant, rigorous education in public relations and advertising. As a student you will be challenged to and equipped to think critically and innovatively in your development of PR and advertising strategies. Merging contemporary theory and academic rigour with creativity, research, and practical industry skills, the Master of Public Relations and Advertising is ideal for industry professionals seeking to advance their career, as well as career-changers wanting to enter a vibrant and rapidly evolving industry. The Master of Public Relations and Advertising combines creative approaches with in-depth knowledge of the theory and research behind the planning and implementation of highly successful public relations and advertising strategies.","MPRA 1.5 year stream (B)Cognate Courses (24 UOC)Advanced Disciplinary Courses (18 - 24 UOC)Prescribed Electives (24 - 30  UOC)MPRA 1 year stream (A)Advanced Disciplinary Courses (18 - 24 UOC)Prescribed Electives (24 - 30 UOC)ARTS5505 Personalised English Language Enhancement (6 UOC)This course ARTS5505, can be taken as an additional course but will not count towards your program."
"8234","mailto:sam@unsw.edu.au","3 Years  ","144","This program allows you to graduate with both a Master of Design (MDes) and a Master of Public Relations and Advertising (MPRA) after three years, with students with appropriate background able to complete both degrees in two years.This dual award provides graduates or those seeking to change careers a professionally relevant, rigorous education in public relations and advertising and an industry-engaged, and professionally relevant education in design knowledge and skills. Increasingly PR and Advertising works with designers and design thinking, and designers are often working in the context of marketing and advertising.These two degrees will equip you with the personal confidence and professional capabilities needed to move into creative leadership roles in freelance, project or design business contexts. As a student you will be challenged to and equipped to think critically and innovatively in your development of PR and advertising strategies and design and digital media practice. Both degrees merge contemporary theory and academic rigour with creativity, research, and practical industry skills, combining design creativity and rigorous research strategies.The Master of Public Relations and Advertising and Master of Design dual award is ideal for industry professionals from advertising or design seeking to advance their career, as well as career-changers wanting to enter vibrant and rapidly evolving industries.","For the 2 year stream (A):MPRA Advanced Disciplinary Courses (18 - 24 UOC)MPRA Prescribed Electives (24 - 30 UOC)MDes Core (36 UOC)MDes Studio Areas of Practice (12 UOC)For the 3 year stream (B):MPRA Cognate Courses (24 UOC)MPRA Advanced Disciplinary Courses (18 - 24 UOC)MPRA Prescribed Electives (24 - 30 UOC)MDes Design Core (48 UOC)MDes Studio Areas of Practice (24 UOC)Exit StrategyYou may exit the program with only one of the constituent degrees if the requirements for that program have been met but may not then take out the combined degree at a later date.Entry RequirementsYou must satisfy the entry requirements for each of the component single award programs to enter the dual award:Applicants for the 2 year stream (A) are required to have:Honours Bachelor degree or Graduate Diploma in a relevant discipline* with a record of academic achievement equivalent to a UNSW credit average of 65%Bachelor degree (or equivalent qualification) in a relevant discipline with a record of academic achievement equivalent to a UNSW credit average of 65%, plus one year relevant professional experienceApplicants for the 3 year stream (B) are required to have:Bachelor degree (or equivalent qualification) in a relevant discipline* with a record of academic achievement equivalent to a UNSW credit average of 65%Bachelor degree (or equivalent qualification) in any discipline with a record of academic achievement equivalent to a UNSW credit average of 65%, plus one year relevant professional experience*Relevant disciplines include:Arts, Humanities, Social SciencesMedia, Communications, Journalism, Public Relations, Advertising, MarketingDesignCreative ArtsCredit TransferIf you are seeking credit transfer you must submit documentary evidence of courses completed at the time of initial enrolment. UNSW Arts and Social Sciences will then determine the number of units of credit to be granted. Credit Transfer will not be granted for courses completed more than ten years previously. The maximum credit transfer for a Masters is 50% of the stream, that is, up to  48 UOC credit transfer for the 2 year stream and 72 UOC credit transfer for the 3 year stream.Award with ExcellenceYou are eligible for the award of a degree ""with Excellence"" if you achieve a Weighted Average Mark (WAM) of at least 80 in all courses and complete at least 50% of the requirements of your award at UNSW.ARTS5505 Personalised English Language Enhancement (6 UOC)This course ARTS5505, can be taken as an additional course but will not count towards your program."
"8409","https://www.business.unsw.edu.au/students/resources/student-centre","1.5 Years  ","72","The handbook provides you with information on the degree structure you would need to follow for the year you commence your study. If you are a prospective student researching your study options, please visit UNSW Business School website for more information.The Master of Professional Accounting is suitable for graduates with no or limited exposure to the study of accounting. The Master of Professional Accounting program provides an introduction to business with a focus on accounting and enables you to obtain recognition by the professional accounting bodies in Australia: CPA Australia, Chartered Accountants Australia and New Zealand and the Institute of Public Accountants. Firms often seek employees who have met professional requirements as it means a range of essential business skills have been acquired.Note:  This degree is designed for graduates with no or limited accounting studies. If you have studied a Bachelor of Accounting or completed an Accounting major, you are not advised to apply and enrol into this degree. ","The Master of Professional Accounting consists of 13 core courses (72 UOC).The typical duration is 1.5 years full-time or 3 years part-time.Note: You should take care to enrol into courses in the appropriate sequence.  Example, ACCT5930 and TABL5512 should be taken early in the program as these courses provide the foundation knowledge for other coursesCore coursesACCT5908 Auditing and Assurance Ser. (6 UOC)ACCT5930 Financial Accounting (6 UOC)ACCT5931 Strategic Management Accountin (6 UOC)ACCT5942 Corporate Accounting & Regulat (6 UOC)ACCT5943 Advanced Financial Reporting (6 UOC)ACCT5996 Management Accounting and Busi (6 UOC)ECON5103 Business Economics (6 UOC)ECON5257 Intro Stats & Data Analysis (3 UOC)FINS5511 Corporate Finance (6 UOC)INFS5978 Accounting Information Systems (6 UOC)TABL5512 Legal Foundations for Acct (3 UOC)TABL5541 Corporations and Bus Assoc Law (6 UOC)TABL5551 Taxation Law (6 UOC)"
"8415","https://www.business.unsw.edu.au/students/resources/student-centre","2 Years  ","96","The handbook provides you with information on the degree structure you would need to follow for the year you commence your study. If you are a prospective student researching your study options, please visit UNSW Business School website for more information.The Master of Professional Accounting (Extension) follows the structure of the Master of Professional Accounting but also provides you with the opportunity to complete a more comprehensive program beyond the core professional knowledge areas required for accreditation with Chartered Accountants Australia and New Zealand and CPA Australia and study four additional elective courses related to resource management and specialised professional work.Note:  This degree is designed for graduates with no or limited accounting studies. If you have studied a Bachelor of Accounting or completed an Accounting major, you are not advised to apply and enrol into this degree. ","The Master of Professional Accounting (Extension) consists of 17 courses (96 UOC): 13 core courses (72 UOC) and 4 elective courses (24 UOC).The typical duration is 2 years full-time or 4 years part-time.Note: You should take care to enrol into courses in the appropriate sequence.  Example, ACCT5930 and TABL5512 should be taken early in the program as these courses provide the foundation knowledge for other coursesCore coursesACCT5908 Auditing and Assurance Ser. (6 UOC)ACCT5930 Financial Accounting (6 UOC)ACCT5931 Strategic Management Accountin (6 UOC)ACCT5942 Corporate Accounting & Regulat (6 UOC)ACCT5943 Advanced Financial Reporting (6 UOC)ACCT5996 Management Accounting and Busi (6 UOC)ECON5103 Business Economics (6 UOC)ECON5257 Intro Stats & Data Analysis (3 UOC)FINS5511 Corporate Finance (6 UOC)INFS5978 Accounting Information Systems (6 UOC)TABL5512 Legal Foundations for Acct (3 UOC)TABL5541 Corporations and Bus Assoc Law (6 UOC)TABL5551 Taxation Law (6 UOC)Choose 4 Elective courses:ACCT5907 Int'l Fin Statement Analysis (6 UOC)ACCT5910 Business  Analysis & Valuation (6 UOC)ACCT5914 Enterprise Strategy for Mngt (6 UOC)ACCT5919 Business Risk Management (6 UOC)ACCT5920 Managing Intangible Resources (6 UOC)ACCT5925 Integrated Reporting (6 UOC)ACCT5949 Managing Agile Organisations (6 UOC)ACCT5955 Management  Control Systems (6 UOC)ACCT5961 Reporting for Climate Change (6 UOC)COMM5008 Global Workplace Practice (6 UOC)COMM5030 Social Entre Practicum (6 UOC)FINS5526 Inter. Corp. Governance (6 UOC)INFS5885 e-Business (6 UOC)INFS5907 Security&Ethics in Cyberspace (6 UOC)MARK5700 Elements of Marketing (6 UOC)MGMT5912 Negotiating in Global Context (6 UOC)MGMT5940 Career Management Skills (6 UOC)TABL5524 Legal Environment of Asian Bus (6 UOC)TABL5583 International Business Tax (6 UOC)You may choose other courses with approval from the Program Director.If you have a weighted average mark of 80 or above in the first two semesters of the program you may apply to complete a research training path as follows:ACCT5997 Seminar in Research Methodolgy (6 UOC)ACCT5999 Project Report (12 UOC)One of the following courses:ACCT5909 Current Developments Auditing (6 UOC)ACCT5951 Current Develop  Account Res F (6 UOC)ACCT5952 Current Develop  Account Res M (6 UOC)"
"8595","http://www.unsw.adfa.edu.au/about-us/our-campus/contacts","1 Years  ","48","The MProjMgt is designed for postgraduate scholars with appropriate undergraduate qualifications in a relevant discipline and/or extensive professional experience who wish to develop a higher level understanding of the principles and practices of project management and to strengthen their skills in this area.","Students undertaking the MProjMgt are required to take 8 coursework courses (48 UOC) from the courses set out below. Students must complete two compulsory courses (12 UOC), two core courses (12 UOC) and four elective courses (24 UOC) from the list below. Not all elective courses will be available in a particular year.CompulsoryZEIT8230 Requirements Practice (6 UOC)ZEIT8303 Project Mgmt Body of Knowledge (6 UOC)Core (choose two from):ZBUS8147 Business of Managing Projects (6 UOC)ZEIT8302 Project Administration (6 UOC)ZEIT8305 Systems Thinking and Modelling (6 UOC)ElectivesZBUS8101 Strategic Management (6 UOC)ZBUS8102 Organisational Behaviour (6 UOC)ZBUS8103 Strategic Human Resources (6 UOC)ZBUS8105 Finance & Invest Appraisal (6 UOC)ZBUS8108 Accounting & Financial Mgt (6 UOC)ZBUS8109 Business Law (6 UOC)ZBUS8112 Project Implementation (6 UOC)ZBUS8148 Economic World View (6 UOC)ZBUS8201 Leadership (6 UOC)ZBUS8203 Change Management (6 UOC)ZBUS8204 Marketing (6 UOC)ZBUS8205 Business Ethics (6 UOC)ZBUS8208 Humanitarian Logistics (6 UOC)ZBUS8210 Critical Analysis in Business (6 UOC)ZBUS8302 Logistics Management (6 UOC)ZBUS8303 Strat Procurement Outsourcing (6 UOC)ZBUS8308 Business Planning (6 UOC)ZEIT8031 Reliability Eng Fundamentals (6 UOC)ZEIT8136 Software Project Management (6 UOC)ZEIT8152 Reliability Program Management (6 UOC)ZEIT8226 Systems Engineering Practice (6 UOC)ZEIT8231 Test and Evaluation (6 UOC)ZEIT8307 System Dynamics Modelling (6 UOC)ZEIT8403 Capability Option Analysis (6 UOC)ZEIT8404 Decision Making Analytics (6 UOC)ZEIT8412 Simulation (6 UOC)ZEIT8413 Simulation Applications (6 UOC)Research ProjectThe option of undertaking a research project worth 12 UOC (ZEIT8280 Project - Project Management F/T and ZEIT8281 Project - Project Management P/T) is available to Masters students who obtain a high credit average or better in four courses and is subject to approval by the Program Authority. The project is recommended for those with a strong interest in pursuing original research in a particular area or intending to undertake a higher research degree qualification. Student undertaking the project are unable to enrol in courses from other coursework programs. Students may, with School approval, take up to two courses (12 UOC) from other coursework programs.Academic Rules1.   Entry Requirements1.1 Entry to the Master of Project Management is available to applicants with an AQF Level 8 qualification with a substantial management component. Entry is also available to applicants without a first degree providing they have acceptable academic and/or professional qualifications and/or related work experience. 2.   Enrolment and Progression2.1  An application to enrol as a candidate for the degree shall be made on the prescribed form and lodged with Student Administrative Services by the advertised date. 2.2  A candidate for the degree must undertake courses and pass assessment as prescribed by UNSW. 2.3  The program of study shall total a minimum of 48 units of credit.2.4  The Academic Standing of a candidate shall be reviewed at the end of each session. Movement between levels of academic standing is based on progress, measured by cumulative number of failures. 3. Exit arrangements3.1 Students who do not complete the full Master program requirements may exit the program with a Graduate Certificate in Project Management qualification (24 UOC). Of the four courses, students must complete a minimum of two courses from the compulsory or core course list and two other courses (compulsory, core or elective) from the 8595 program.3.2 For any advanced standing granted on entry into the Masters program, a maximum of 12 UOC advanced standing can be applied to the Graduate Certificate.  It is still a requirement that the student complete at least one core course at UNSW.4.   FeesA candidate shall pay fees as determined by the UNSW Council.FeesFor information regarding fees for UNSW programs, please refer to the following website:  UNSW Fee Website.Faculty Regulations for Postgraduate Study via CourseworkThese regulations apply to all postgraduate degrees and are to be used in conjunction with "
"8127","http://www.be.unsw.edu.au/","1.5 Years  ","72","Program SummaryEach year the nation commits more than half of its capital outlays to land development, building and infrastructure. The property industry is rapidly moving from essentially responding to client requirements for structures to providing business solutions and sustainable communities. This makes property a key sector of the economy. The Master of Property and Development (MPD) program offered at UNSW is designed to meet the needs of those who wish to work at the cutting edge of these changes, and assemble a suite of courses that stretch their imaginations and capabilities.In a collaborative arrangement between Faculty of Built Environment, peak industry associations, and other faculties, UNSW offers the MPD program. The program should appeal to people seeking careers in development, investment and management of property and infrastructure and the professions that serve this industry. It also provides valuable education to those seeking a broader base to careers in architecture and landscape architecture, construction, engineering, urban planning and law.","6 Core courses (36 UOC):REST0001 Property Performance Analysis (6 UOC)REST0004 Property Investment & Finance (6 UOC)REST0005 Property Valuation (6 UOC)REST0006 PropDev&Feasibility Analysis (6 UOC)REST0010 Property Industry Application (6 UOC)REST0019 Real Property Law (6 UOC)2 Elective courses (12 UOC) from list below:CONS0013 CM Theory and Practice (6 UOC)FINS5513 Investments & Portfolio Sel. (6 UOC)PLAN7141 Land Use Policy & Practice (6 UOC)PLAN7146 City Econ,Urban Dev & Fin (6 UOC)REST0007 Asset & Facilities Management (6 UOC)SUSD0001 Sustainable Dev & Urban Envir (6 UOC)Plus the following 2 Core courses (18 UOC):BENV7020 Research Seminar (6 UOC)REST0018 Research Project (12 UOC)1 Elective course (6 UOC) selected from list above:"
"7127","http://www.be.unsw.edu.au/","1 Years  ","24","Program SummaryThe Graduate Certificate is the first tier of a sequence of postgraduate programs in Property and Development. It is undertaken on a part-time basis over two semesters with students completing two courses in each semester. Students learn about property and development principles and techniques needed to effectively manage property development projects.Career Opportunities and Accreditation The Graduate Certificate program is suited to practicing personnel in relevant fields includingbuilding, construction management, construction economics, civil engineering, mining engineering, project management, quantity surveying, real estate or equivalent, who wishes to enhance their career opportunities. This program also provides an opportunity to those who have relevant professional experience but limited formal qualifications to study at the graduate level.","To qualify for the Graduate Certificate in Property and Development program students will be required to complete a program of study totalling 24uoc. Students must complete 4 courses from the Core Courses list.REST0001 Property Performance Analysis (6 UOC)REST0004 Property invest. & Finance (6 UOC)REST0005 Property Valuation (6 UOC)REST0006 Prop Dev & Feasibility Analysi (6 UOC)REST0010 Property Industry Application (6 UOC)REST0019 Real Property Law (6 UOC)Admission requirementsTo qualify for entry to the Graduate Certificate in Property and Development, applicants need to have one of the following:An undergraduate degree in a related field* ORA recognised college or university diploma in a cognate discipline  with a minimum of 3 years of work experience in the property industry at a management level ORA recognised professional qualification in the property industry related cognate disciplines eg Associate membership of API or RICS  plus 5 years of work experience in the property industry at a management level ORA recognised Bachelor degree or college or university diploma not related to activities of the property industry plus a minimum of 5 years of work experience in the property industry at a management level*Related field: Studies in built environment disciplines, engineering, business or law.; building, construction management, construction economics, civil engineering, mining engineering, material engineering, architecture, interior architecture, landscape architecture, urban planning, quantity surveying, property development, real estate, law or business This program can only be done on a part-time basis and is therefore not available to international students."
"8256","http://www.psy.unsw.edu.au/","2 Years  ","96","The Master of Psychology (Clinical) program began in 1971. The School’s theoretical orientation has primarily been one of experimental empiricism, and the Clinical program adheres to the scientist-practitioner model for clinical training. The program has an emphasis on cognitive-behavioural approaches to the understanding and management of clinical programs. The program concerns itself with adult, adolescent and child clinical psychology, neuropsychological assessment and rehabilitation.The program is accredited by the Australian Psychology Accreditation Council (APAC) as the fifth and sixth years of study leading to full membership of the Australian Psychological Society (APS) and registration as a psychologist with the national Psychology Board of Australia (PsyBA). Graduates of the program are eligible for Associate Membership of the APS College of Clinical Psychologists. After completing a further two years of full-time equivalent supervised practice, graduates of the program are eligible to apply for full membership and endorsement as a Clinical Psychologist.","The program consists of three components, all of which are compulsory, totalling 96 units of credit (48 in each Stage):Coursework – Weekly lectures and seminars with associated written forms of assessment (48 UOC)Professional practice – Completion of a minimum of 1,000 hours of supervised clinical practice within the School Clinic and in field clinical settings, weekly Clinical meetings and Skills Training Workshops (24 UOC)A research thesis (24 UOC).Stage 1PSYC7000 Research & Evaluation Methods (6 UOC)PSYC7001 Psychological Assessment 1 (6 UOC)PSYC7204 Child Clinical Psychology (6 UOC)PSYC7210 Clinical Neuropsychology (6 UOC)PSYC7212 Experimental Clinical Psych 1 (6 UOC)PSYC7221 Experimental Clinical Psych 2 (6 UOC)PSYC7223 Prof & Ethical Pract (Clin) 1 (6 UOC)PSYC7224 Prof & Ethical Pract (Clin) 2 (6 UOC)Stage 2PSYC7220 Psych of Health & Illness (6 UOC)PSYC7222 Experimental Clinical Psych 3 (6 UOC)PSYC7225 Prof & Ethical Pract (Clin) 3 (6 UOC)PSYC7226 Prof & Ethical Pract (Clin) 4 (6 UOC)PSYC7227 Research Thesis (Clinical) 1 (12 UOC)PSYC7228 Research Thesis (Clinical) 2 (12 UOC)"
"8257","http://www.psy.unsw.edu.au/","2 Years  ","96","The Master of Psychology (Forensic) program was offered for the first time in 1998. The degree is unique among masters programs in forensic psychology at Australian universities in that both a school of psychology and a law school are involved in its teaching; each School at UNSW is a recognised leader in its field in Australia.The program is accredited by the Australian Psychology Accreditation Council (APAC) as the fifth and sixth years of study leading to full membership of the Australian Psychological Society (APS) and registration as a psychologist with the national Psychology Board of Australia (PsyBA). Graduates of the program are eligible for Associate Membership of the APS College of Forensic Psychologists. After completing a further two years of full-time equivalent supervised practice, graduates are eligible to apply for full membership and endorsement as a Forensic Psychologist.","The program consists of three components, all of which are compulsory, totalling 96 units of credit (48 in each Stage).Coursework - Weekly lectures and seminars with associated written forms of assessment (48 UOC)Professional practice - Completion of a minimum of 1000 hours of supervised practice in forensic settings, weekly Forensic Psychology meetings, and Skills Training Workshops (24 UOC)A research thesis (24 UOC).Stage 1PSYC7000 Research & Evaluation Methods (6 UOC)PSYC7001 Psychological Assessment 1 (6 UOC)PSYC7400 Intervent'n in Forensic Psych1 (6 UOC)PSYC7401 Intervent'n in Forensic Psych2 (6 UOC)PSYC7402 Applications of Forensic Psych (6 UOC)PSYC7409 Prof & Ethical Pract (For) 1 (6 UOC)PSYC7410 Prof & Ethical Pract (For) 2 (6 UOC)LAWS9800 Law for Psychologists 1 (6 UOC) or LAWS9810 Law for Psychologists 2 (6 UOC)*Stage 2PSYC7403 Experimental Psychology & Law (6 UOC)PSYC7411 Prof & Ethical Pract (For) 3 (6 UOC)PSYC7412 Prof & Ethical Pract (For) 4 (6 UOC)PSYC7413 Research Thesis (Forensic) 1 (12 UOC)PSYC7414 Research Thesis (Forensic) 2 (12 UOC)LAWS9800 Law for Psychologists 1 (6 UOC) or LAWS9810 Law for Psychologists 2 (6 UOC)**LAWS9800 and LAWS9810 are offered in alternate years (LAWS9810 was last offered in 2015). Students may complete these courses in any order and should enrol in whichever is offered, regardless of whether they are enrolled in Stage 1 or Stage 2 of their program.Note: Refer to individual Course Descriptions for pre-requisite information."
"9057","http://www.sphcm.med.unsw.edu.au/","2 Years  ","96","The Master Public Health / Master of Health Management (Extension) dual program is an innovative approach to postgraduate health education enabling candidates to specialise in both public health and health management and develop research skills in health management.","Candidates must complete 96 Units of Credit (UOC) comprising:Core courses - 7 courses (42 UOC)Elective courses - 5 courses (30 UOC)Extension* (24 UOC)48 UOC requirements of MHM program must be completed with an average mark of 65% or more before the final 24 UOC of MHM Extension coursework and research can be undertaken. This can be completed while completing requirements for the MPH program. Both the 6 UOC and 18 UOC research projects of the MHM Extension component may be completed in a range of locations with the involvement of approved local and UNSW academic supervisors and approval of the Program Director.Core CoursesPHCM9012 Health Promotion & Social Pers (6 UOC)PHCM9041 Foundations (6 UOC)PHCM9391 Strategy Policy & Change (6 UOC)PHCM9441 Healthcare Economics & Fin Mgt (6 UOC)PHCM9498 Epidemiology and Statistics:PH (6 UOC)PHCM9701 Health Leadership (6 UOC)PHCM9748 Clinical Governance & Risk (6 UOC)MHM core courses: PHCM9391, PHCM9441, PHCM9748, PHCM9701Electives (30 UoC)Students choose 5 elective courses (30 UOC) from the list below.PHCM9010 Community Development (6 UOC)PHCM9041 Foundations (6 UOC)PHCM9050 Immunisation Policy & Practice (6 UOC)PHCM9082 Advanced HE & FM (6 UOC)PHCM9103 Independent Study (6uoc) (6 UOC)PHCM9108 Program Design & Evaluation (6 UOC)PHCM9120 Qualitative Research Methods (6 UOC)PHCM9129 Prevent & Manag Chronic Dis (6 UOC)PHCM9132 Applied Research Methods: PH (6 UOC)PHCM9143 Internship (6 UOC)PHCM9148 Project (6 uoc) (6 UOC)PHCM9331 Ethics and Law in PH (6 UOC)PHCM9381 Policy Studies (6 UOC)PHCM9391 Strategy Policy & Change (6 UOC)PHCM9440 Economic Evaluation in HC (6 UOC)PHCM9441 Healthcare Economics & Fin Mgt (6 UOC)PHCM9471 Comparative H'lth Care Systems (6 UOC)PHCM9517 Advanced Biostatistics (6 UOC)PHCM9518 Advanced Epidemiology (6 UOC)PHCM9522 Politics, Surveillance, Health (6 UOC)PHCM9604 Tobacco, Alcohol and Illicit (6 UOC)PHCM9605 International Health (6 UOC)PHCM9606 Reprod, Matern & Child Health (6 UOC)PHCM9609 Rural and Remote Intnl Health (6 UOC)PHCM9612 Environmental Health (6 UOC)PHCM9615 Principles & Practice of PHC (6 UOC)PHCM9617 Contemporary Issues in Ageing (6 UOC)PHCM9622 The Global HIV Epidemic (6 UOC)PHCM9626 Inequalities and Health (6 UOC)PHCM9628 Health Impact Assessment (6 UOC)PHCM9630 PH Perspectives of Ind Health (6 UOC)PHCM9632 Indigenous Health & Wellbeing (6 UOC)PHCM9662 Health Aspects of Crises (6 UOC)PHCM9701 Health Leadership (6 UOC)PHCM9731 Outbreak Investigation (6 UOC)PHCM9748 Clinical Governance & Risk (6 UOC)PHCM9761 PH Aspects of Mental Health (6 UOC)PHCM9782 Infectious Diseases (6 UOC)PHCM9783 Com Disease Control in HE & D (6 UOC)PHCM9784 Tropical Disease Control (6 UOC)PHCM9785 Predictive modelling in PH (6 UOC)PHCM9786 Non-Communicable Disease (6 UOC)PHCM9787 Infection Prevention & Control (6 UOC)PHCM9788 Infect Diseases Intelligence (6 UOC)PHCM9789 Bioterrorism & Intelligence (6 UOC)PHCM9498 is a pre-requisite core course for PHCM9517 and PHCM9518Note: The 48 UOC MHM requirements to be completed with a minimimum average mark of 65% to progress to the Extension component of the MHM are the 5 MHM core courses and 3 other courses, which may include any MPH core or elective courses.*Extension (24 UOC)Choose from one of the following options:18 UOC major project in health management (PHCM9150) to be negotiated with an academic supervisor plus a 6 UOC elective course; or6 UOC research project (PHCM9148) in health management to be determined in consultation with the academic supervisor of the project plus 3 elective courses (18 UOC).Streams (Areas of Specialisation)The following stream is available in the Master of Public Health as part of the 9057 dual Master of Public Health / Master of Health Management (Extension). This allows students to focus their studies on an area where the School has considerable expertise.Master of Public Health in Health Economic EvaluationStudents considering enrolling in this stream must seek advice from the MPH Program Director to ensure that they select the correct courses to meet the requirements of the stream as well as the rules of the dual Masters Extension program.Additional Course Requirement for International Students.International Students who have not previously completed a degree in Australia and are enrolled in the full time program in Sydney (Kensington campus) are required to take the following additional course in their first semester.PHCM9100 Academic Practice (0 UOC)This course is available for all students to assist them with academic literacy practice and includes critical reading, thinking and writing, oral communication and managing postgraduate study. The course is made available at no charge to students and does not contribute to the program requirements of the degree. Local students who have not studied recently are also welcome to enrol to assist them with the transition back to university and to assist them with their academic skills."
