Prerequisite,course_EFTSL,course_EFTSL_url,course_campus,course_career,course_code,course_credit,course_description,course_faculty,course_faculty_url,course_fee,course_fee_url,course_further_info,course_further_info_url,course_hours,course_outline,course_outline_url,course_school,course_school_url,course_title,course_url 
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,AVIA2101,6,"A good working baggage handling system is essential for the functioning of modern airports. This course builds on the general knowledge of aviation gained in first year and explores the design, technology and operations of baggage handling systems at airports. ,The course consists of three phases. The first phase introduces the baggage handling process and its operational aspects, in particular, the interactions between the different stages of the process. The second phase focuses on the latest developments in baggage handling systems technology and the changes made to the baggage handling process, such as the application of RFID and biometric technology. The last phase deals with design processes and system analyses. The Delft systems approach and design methods will be introduced to students, enabling them to analyse the baggage handling process and to conceptually design a baggage handling system. ,Throughout the course, all aspects of baggage handling systems will be analysed from different perspectives: the designer of the overall system, the component supplier, the airport, the airline, customs and the passengers. The course concludes with two assignments that allow students to put the theory in practice.",Faculty of Science,/faculties/2018/sci/sci.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/AVIA2101.html,4,http://aviation.unsw.edu.au/,http://aviation.unsw.edu.au/,School of Aviation,http://www.aviation.unsw.edu.au/,"Baggage Handling System Design, Technology and Operations",http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/AVIA2101.html
Enrolld in BEES Hons Plan,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BEES4515,18,"A 18 UOC Research Project in the School of Biological, Earth & Environmental Sciences, taken in combination with BEES4522 and additional BEES Research Project courses to total 48 UOC. This course is only available to students enrolled in an Honours Program in the School of BEES and enrolment must be approved by the School of BEES Honours Coordinator. The course entails research in a defined disciplinary area (Archaeology & Palaeoenvironments, Biology, Climate Science, Ecology, Environmental Management, Genetics, Geochemistry, Geology, Human Geography, Marine and Coastal Science or Physical Geography) developed in consultation with an Honours Supervisor.,This course is only available to students enrolled in the School of BEES Honours Program.",Faculty of Science,/faculties/2018/sci/sci.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BEES4515.html,0,http://www.bees.unsw.edu.au/,http://www.bees.unsw.edu.au/,"School of Biological, Earth & Environmental Sciences",http://www.bees.unsw.edu.au/,BEES Honours - 18uoc ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BEES4515.html
Exclusion: MATH2099 & PSYC2001,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BEES2041,6,"Development of skills in applying statistics to biological, earth and spatial data; design and analysis of experiments in life and earth sciences; sampling strategies for estimating sample size; analysis of community and environment structure using multivariate statistics; simulation modelling in population biology, and statistical fitting of non-linear models to population growth data; correlation and both simple and multiple regression; improving statistical models using analysis of residuals; analysis of spatial data.,Examples are drawn from ecological, geographical, earth, behavioural, genetic, microbial and immunological data. Practical work emphasises problem-solving and hands-on experience with EXCEL, MINITAB and other specialist software.,Assumed Knowledge: ",Faculty of Science,/faculties/2018/sci/sci.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BEES2041.html,5,http://www.bees.unsw.edu.au/,http://www.bees.unsw.edu.au/,"School of Biological, Earth & Environmental Sciences",http://www.bees.unsw.edu.au/,Data Analysis for Life and Earth Sciences,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BEES2041.html
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BEES0010,6," , ,This 6 week short course is specifically designed for International students. The program provides a unique opportunity to consider human impacts on the natural environment, and measures to address these impacts, focusing particularly on protected conservation areas. Australia provides a valuable and unique case study in this regard. The course is contextualised within the global ecological crisis and considers the development of environmental values and awareness and describes environmental controversies and how they are addressed. In consideration of these issues, Australia’s unique flora and fauna are examined and the various climatically varied regions visited are highlighted throughout the course.,The program outlines and exposes students to the challenges in managing natural and cultural heritage in the 21st century. There is a strong emphasis on Aboriginal perspectives of the Australian landscape and its importance to this ancient culture. The program will familiarise participants with the spiritual and ecological ties of Aboriginal culture with the landscape and how this is incorporated in management of national parks.",Faculty of Science,/faculties/2018/sci/sci.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BEES0010.html,0,http://www.bees.unsw.edu.au/,http://www.bees.unsw.edu.au/,"School of Biological, Earth & Environmental Sciences",http://www.bees.unsw.edu.au/,"Australian Environment, Wildlife and Conservation",http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BEES0010.html
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BEES0006,6,"Short theoretical or experimental research project, supervised by a member of academic staff. The research project may encompass project planning, literature review, project development, fieldwork, experimental work, statistical analyses and oral and written,reporting. Projects may also involve ‘placements’ outside UNSW, in the form of externally funded research programs, industrial placements or other programs either during usual session or in the session breaks. In these cases students will require an academic member of staff to supervise the internship., This course is restricted to students undertaking a Major in the School of BEES. Enrolment in this course is by invitation and subject to availability of places: interested students should contact a suitable supervisor and the Director of Teaching.",Faculty of Science,/faculties/2018/sci/sci.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BEES0006.html,0,http://www.bees.unsw.edu.au/,http://www.bees.unsw.edu.au/,"School of Biological, Earth & Environmental Sciences",http://www.bees.unsw.edu.au/,"Special Program in Biological, Earth and Environmental Sciences - Undergraduate 6 units of credit",http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BEES0006.html
Pre: Enrolled in BABS Honours plan,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BABS4524,24,"A 24 UOC Research Project in the School of Biotechnology and Biomolecular Sciences, taken in two semesters providing a total of 48 UOC. This course is only available to students enrolled in an Honours Program in the School of BABS and enrolment must be approved by the School of BABS Honours Coordinator. The course entails research in a defined disciplinary area (Biotechnology, Genetics, Microbiology, Molecular and Cell Biology) developed in consultation with an Honours Supervisor.,This course is only available to students enrolled in the School of BABS Honours Program.",Faculty of Science,/faculties/2018/sci/sci.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BABS4524.html,0,Click Here,http://www.babs.unsw.edu.au/current_students/postgraduate-courses,School of Biotechnology and Biomolecular Science,http://www.babs.unsw.edu.au,BABS Honours 24 UOC ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BABS4524.html
Prerequisite: 96 unit of credits completed,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BEIL0015,6,Digital design enabled through Grasshopper and produced through digital fabrication has opened new doors for generating and producing objects and artifacts ranging from industrial designed products to building components to architecture.  Through the understanding and the use of computational design skills one can easily generate various iterations and produce them by using laser cutters or 3D printers and similar. The course will introduce developments in computational design via a twelve week lecture series and teach students basic skills in Grasshopper scripting as well as familiarize and OH&S train students in order to produce small artifacts via digital fabrication. As a result students get access to the (Digital Fabrication Lab) DFL on the Mezzanine Level at the Red Centre and can use all 3D printers (MakerBots) and Laser Cutters in this facility during and after completing the semester. The course is at a beginner level and any prior knowledge in either scripting or digital fabrication is unnecessary.,Built Environment,/faculties/2018/blten/blten.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BEIL0015.html,5,Built Environment,http://www.be.unsw.edu.au,Built Environment,http://www.be.unsw.edu.au/,Digital Design Foundations,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BEIL0015.html
Prerequisite: 96 unit of credits completed,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BEIL0014,6,"Through new methods in designing objects and spaces, new challenges in making and creating the objects and spaces arise. Digital design and fabrication promises new ways of designing, different, cheaper and faster but are these predictions real promises or are they are misleading the future designer and builder? The studio sees only one way to get an answer to the questions raised above – through digital making! Consequently the studio engages in designing an installation using digital and parametric design tools, and building the outcome as a 1:1 mock-up and answering the question by exploring what is possible and what are only promises. A project with this complexity requires experts from different disciplines. It is not only about the design but also about managing the project, understanding the constraints of construction methods and materials, structural and building regulation and their demands and understanding details from an aesthetic to fabrication point. This is digital making of the 21st century.",Built Environment,/faculties/2018/blten/blten.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BEIL0014.html,9,Built Environment,http://www.be.unsw.edu.au,Built Environment,http://www.be.unsw.edu.au/,Digital Making,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BEIL0014.html
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BEES4514,24,"A 24 UOC Research Project in the School of Biological, Earth & Environmental Sciences, taken in combination with BEES4522 and additional BEES Research Project courses to total 48 UOC. This course is only available to students enrolled in an Honours Program in the School of BEES and enrolment must be approved by the School of BEES Honours Coordinator. The course entails research in a defined disciplinary area (Archaeology & Palaeoenvironments, Biology, Climate Science, Ecology, Environmental Management, Genetics, Geochemistry, Geology, Human Geography, Marine and Coastal Science or Physical Geography) developed in consultation with an Honours Supervisor.,This course is only available to students enrolled in the School of BEES Honours Program.",Faculty of Science,/faculties/2018/sci/sci.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BEES4514.html,0,http://www.bees.unsw.edu.au/,http://www.bees.unsw.edu.au/,"School of Biological, Earth & Environmental Sciences",http://www.bees.unsw.edu.au/,BEES Honours - 24uoc ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BEES4514.html
Prerequisite: 96 units of credit completed in Built Environment,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BENV6731,6,"This elective course is designed as a vehicle for the exploration of current interdisciplinary issues in urban theory and practice. In 2014, the course will focus on the emerging practice known as DIY urbanism, which involves the creation of small-scale, informal interventions in public space. Over recent years, DIY urbanism has gained significant media and academic attention around the world as a new grassroots approach to urban design and engagement. This course will encourage students to embrace the current enthusiasm for DIY urbanism, while also requiring them to look beyond the ‘trendy’ façade and to critically examine the theoretical, aesthetic and practical issues DIY urbanism poses for both city residents and urban professionals. It will draw on materials from a range of disciplinary perspectives including urban planning, urban design, architectural theory, sociology and media theory.",Built Environment,/faculties/2018/blten/blten.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BENV6731.html,18,Built Environment,http://www.be.unsw.edu.au,Planning and Urban Development,http://www.be.unsw.edu.au/,Contemporary Issues in Urbanism ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BENV6731.html
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BENV6001,6,"Street Life Studies: Cambodia is an international, interdisciplinary urban design elective that places you, the student, on the streets of Phnom Penh and Sydney in collaboration with your Cambodian design colleagues. In these contrasting contexts, you will use quick hand drawing, data collection and digital post production techniques to observe and analyse the dynamic layers of public street space: physical, behavioural and systematic. This on-field research will be used as evidence for the creation of an urban design proposal in response to a real-world challenge you have observed in the street sites. The proposal will focus on contributing to the creation of people-centred public street space that is vital and inclusive.,Contextually, Phnom Penh streets are clear examples of diverse urban dwellers appropriating the public domain. In many Sydney streets, this kind of informal or unplanned activity is less apparent. What knowledge can be exchanged in comparing these contexts? How can we use interdisciplinary and cross-cultural collaboration to expand this? How can we draw from both the formal and informal dynamics of street space? How might we as designers use observational research methodologies to meaningfully contribute to city-making processes?",Built Environment,/faculties/2018/blten/blten.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BENV6001.html,43,Built Environment,http://www.be.unsw.edu.au,info invalid,url invalid,Street Life Studies: Sydney Phnom Penh ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BENV6001.html
Prerequisite: BABS1201,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BINF2010,6,"The course surveys the major areas of bioinformatics, exploring the history of bioinformatics in relation to advances in computing hardware and software; the biological problems currently being addressed using bioinformatics; and future applications of bioinformatics. Major topics include genomics; genome sequencing projects; proteomics; structural genomics; systems biology; phylogeny; medical informatics; and commercial applications of bioinformatics. The general nature of the data, computational problems and the approaches employed will be discussed in each case. Bioinformatics will be discussed both as a scientific discipline and as an engineering discipline. The course will also explore the role of bioinformatics in the biotechnology and pharmaceutical industries and ethical issues associated with biological data. Lectures are supplemented by practical exposure to public and commercial bioinformatics web sites and to commonly used bioinformatics software.",Faculty of Engineering,/faculties/2018/eng/eng.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BINF2010.html,5,http://www.cse.unsw.edu.au/,http://www.cse.unsw.edu.au/,School of Computer Science and Engineering,http://www.cse.unsw.edu.au/,Introduction to Bioinformatics ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BINF2010.html
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BENV4121,6,"Collective efforts to influence land use change and the structure and behaviour of spatial activity systems in their environmental, social and economic dimensions take place at different geographical scales. This advanced course focuses on the supra - local - regional - scale: that is, metropolitan sub-regions, metropolitan regions as a whole, and non-metropolitan regions. The emphasis is primarily on the metropolitan scale where the conditions requiring spatial planning are most in evidence. The course addresses the organization of government and public-private relationships in achieving spatial planning objectives. While the empirical focus is primarily on the Australian scene the principles apply internationally and reference is made to international cases. Instruction employs lectures and class discussions. Assessment is via research papers and student presentations.",Built Environment,/faculties/2018/blten/blten.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BENV4121.html,6,Built Environment,http://www.be.unsw.edu.au,Planning and Urban Development,http://www.be.unsw.edu.au/,Spatial Policy ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BENV4121.html
Prerequisite: 96 units of credit completed in Built Environment,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BENV6728,6,"The course explores the origins, vocabulary and grammar of the Classical Orders and their application in Greek and Roman architecture, in the Renaissance and the Baroque periods, as well as in Neo-Classicism and the nineteenth century. We will also consider the survival of Classical ideals into the twentieth and twenty first centuries. The course demonstrates the relevance of the particular historical tradition to current practice. Students of design are encouraged to interpret classical principles as a stimulus for their own design work.  This involves engaging in a tradition, with the aim of creating new schemes. Material is presented in both lecture and seminar formats.",Built Environment,/faculties/2018/blten/blten.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BENV6728.html,3,Built Environment,http://www.be.unsw.edu.au,Architecture Program,http://www.be.unsw.edu.au/,Classical Architecture ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BENV6728.html
Prerequisite: 96 units of credit completed in Built Environment,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BENV6725,6,"his course is a study of key moments in twentieth-century architecture through the examination of selected buildings and the writings of architects. Among sources to be discussed are works by architects such as Le Corbusier, Mies van der Rohe, Walter Gropius, and cultural theorists and philosophers such as Theodor Adorno, Gaston Bachelard, and Gianni Vattimo. Material is presented as electronic seminars.",Built Environment,/faculties/2018/blten/blten.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BENV6725.html,3,Built Environment,http://www.be.unsw.edu.au,Architecture Program,http://www.be.unsw.edu.au/,20th c. Architecture: Modernity to Deconstruction ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BENV6725.html
Prerequisite: 96 units of credit completed in Built Environment,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BENV6722,6,"Cinema is an art form closely tied to architecture and the built environment. They both create and define experiences of place and space. The video camera is an easy and highly accessible tool that provides for creative expression, storytelling, documentary, research and critique of spaces within the built environment. It enables the creation of cinematic experiences for distribution to a wide audience through the web or other forms of multimedia.,The aim of this course is to explore the video camera and cinema in the understanding, evaluating and communication of place and space. It also aims to make the video camera a familiar tool in architectural research and analysis. The course will culminate in the final assessment which is the production of a short film, employing creative ideas and techniques, as well as critical analysis, to effectively tell a story about a selected spatial experience.",Built Environment,/faculties/2018/blten/blten.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BENV6722.html,3,Built Environment,http://www.be.unsw.edu.au,Architecture Program,http://www.be.unsw.edu.au/,Cinematic Space ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BENV6722.html
Prerequisite: 96 units of credit completed in Built Environment,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BENV6713,6,"This course is focused on the critical study of spatiality of the built environment by means of sketching and free-hand drawing.  It involves intensive hands-on exercises that are to be supported by weekly individual feedback, intervening lectures, collective comments, and group discussion.  Exercises will be carried out on pre-selected locales of different kinds and progressive complexity and difficulty.  Attention is directed to the critical process of seeing, understanding, conceptualising, and producing interpretive drawings rather than documentary ones, emphasising architectural spatiality and atmosphere constituted and/or enhanced by certain aspects of the objects, such as form, detail, material, texture, light, and overall setting, which capture the mind upon viewing.",Built Environment,/faculties/2018/blten/blten.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BENV6713.html,3,http://www.fbe.unsw.edu.au/,http://www.fbe.unsw.edu.au/,Architecture Program,http://www.be.unsw.edu.au/,Architectural Spatialisation ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BENV6713.html
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BIOM9311,6,"Mass transfer in the living organism and in extracorporeal medical devices. Principles of diffusion and convection. Models of gas transfer in the lung. Transfer of solutes at the capillary level. Haemodialysis, haemofiltration, plasma filtration and blood oxygenators. Transfer across the peritoneal membrane-dialysis or drug delivery. Drug delivery across the skin.",Faculty of Engineering,/faculties/2018/eng/eng.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BIOM9311.html,3,http://www.gsbme.unsw.edu.au/,http://www.gsbme.unsw.edu.au/,Graduate School of Biomedical Engineering,http://www.gsbme.unsw.edu.au/,Mass Transfer in Medicine,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BIOM9311.html
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BIOM9027,6,"Fundamentals of producing a medical image, image collection techniques, image reconstruction algorithms. Detailed examination of the four main areas of medical imaging: Nuclear Medicine and Positron Emission Tomography, Diagnostic Radiology, Magnetic Resonance and image analysis methods. Clinical application of each area.",Faculty of Engineering,/faculties/2018/eng/eng.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BIOM9027.html,3,http://www.gsbme.unsw.edu.au/,http://www.gsbme.unsw.edu.au/,Graduate School of Biomedical Engineering,http://www.gsbme.unsw.edu.au/,Medical Imaging,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BIOM9027.html
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BIOM9021,6,BIOM9021 is the second half of the 12 UOC research project. BIOM9020 is the first half. Enrolment in these courses allows a student to undertake the equivalent of BIOM9914 Masters Project over two sessions. Results are graded.,Faculty of Engineering,/faculties/2018/eng/eng.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BIOM9021.html,0,http://www.gsbme.unsw.edu.au/,http://www.gsbme.unsw.edu.au/,Graduate School of Biomedical Engineering,http://www.gsbme.unsw.edu.au/,Research Project B,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BIOM9021.html
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BIOM9020,6,BIOM9020 is the first half of the 12UOC research project.  BIOM9021 is the second half.  Enrolment in these courses allows a student to undertake the equivalent of BIOM9914 Masters Project pover two sessions and allows graded results.,Faculty of Engineering,/faculties/2018/eng/eng.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BIOM9020.html,0,http://www.gsbme.unsw.edu.au/,http://www.gsbme.unsw.edu.au/,Graduate School of Biomedical Engineering,http://www.gsbme.unsw.edu.au/,Masters Project (Half Time) ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BIOM9020.html
Prerequisite: BIOM5970,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BIOM5971,12,This thesis is for Bioinformatic Engineering/Biomedical Engineering students only.,Faculty of Engineering,/faculties/2018/eng/eng.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BIOM5971.html,1,http://www.cse.unsw.edu.au/thesis/,http://www.cse.unsw.edu.au/thesis/,Graduate School of Biomedical Engineering,http://www.gsbme.unsw.edu.au/,Thesis Part B (BINF) ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BIOM5971.html
Prerequisite: BIOM5960,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BIOM5961,12,This thesis is for Software Engineering/Biomedical Engineering students only.,Faculty of Engineering,/faculties/2018/eng/eng.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BIOM5961.html,1,http://www.cse.unsw.edu.au/thesis/,http://www.cse.unsw.edu.au/thesis/,Graduate School of Biomedical Engineering,http://www.gsbme.unsw.edu.au/,Thesis Part B (SENG) ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BIOM5961.html
Prerequisite: Stage 4 of BE Software Engineering MBiomedE program 3749.,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BIOM5960,6,This thesis is for Software Engineering/Biomedical Engineering students only.,Faculty of Engineering,/faculties/2018/eng/eng.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BIOM5960.html,1,http://www.cse.unsw.edu.au/thesis/,http://www.cse.unsw.edu.au/thesis/,Graduate School of Biomedical Engineering,http://www.gsbme.unsw.edu.au/,Thesis Part A (SENG) ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BIOM5960.html
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BIOS2061,6,"Australia has a high diversity of vertebrate species (e.g. platypus, tree frogs, parrots, snakes). This course examines the evolution, diversity and natural history of these animals with a special emphasis on how they cope with Australia’s environment. It covers the evolutionary origins and relationships between the major Vertebrate groups and explores their diversity of form, function and behavior. There is a detailed investigation of birds and mammals, particularly their ecology, life history and emerging conservation issues. Practical work involves examining living and preserved specimens (including dissections) and several field trips around Sydney studying vertebrates in the wild.",Faculty of Science,/faculties/2018/sci/sci.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BIOS2061.html,5,http://www.bees.unsw.edu.au/,http://www.bees.unsw.edu.au/,"School of Biological, Earth & Environmental Sciences",http://www.bees.unsw.edu.au/,Vertebrate Zoology,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BIOS2061.html
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BLDG1012,6,"An introduction to the properties and manufacture of key construction materials: cement, concrete, masonry, steel, timber, glass, aluminium, and plastic. The course provides a fundamental understanding of basic options, the constituents, the manufacturing process, and functional qualities of the construction materials that underpins many aspects of building construction and maintenance. Students will also learn the interrelationship among construction materials, their properties and durability, and sustainable design.",Built Environment,/faculties/2018/blten/blten.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BLDG1012.html,4,Built Environment,http://www.be.unsw.edu.au,Building Construction Management Program,http://www.be.unsw.edu.au/,Construction Materials ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BLDG1012.html
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BLDG1011,6,"An introduction to the functional requirements and construction methods specific to low-rise building construction. The course examines a range of key technical aspects and relevant systems, including: foundation, basement, ground-floor and upper-floor construction; brick, brick-veneer and timber frame construction methods and materials; methods of roofing; waterproofing; joinery; internal finishes; and services for low-rise buildings. This course also includes an important technical skill concerning reading and interpreting construction drawings and an introduction to sustainability principles relevant to low-rise buildings.",Built Environment,/faculties/2018/blten/blten.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BLDG1011.html,5,Built Environment,http://www.be.unsw.edu.au,Building Construction Management Program,http://www.be.unsw.edu.au/,Low Rise Building Construction ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BLDG1011.html
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BLDG4021,12,"This course aims to introduce students to the fundamentals of research development and implementation in the construction management and property discipline, and enable students to gain exposure to research implementation processes. Students will engage with the types of research approaches, designs, methods and data collection processes; the analysis of quantitative and qualitative data; the presentation of research findings; and the writing of a thesis report.",Built Environment,/faculties/2018/blten/blten.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BLDG4021.html,2,Built Environment,http://www.be.unsw.edu.au,Building Construction Management Program,http://www.be.unsw.edu.au/,Construction Innovation ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BLDG4021.html
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BLDG4020,6,"This course offers an introduction to the contemporary facilities management (FM) issues and practices facing organisations in the changing business environment. Facilities management is an enabling function of organisations toward delivering and sustaining a quality working environment for their human and physical resources; hence improved organisational performance. As such, the aim of this course is to introduce construction management and property students to the fundamentals of facilities management (FM) and how it is related to organisational strategies and performance.",Built Environment,/faculties/2018/blten/blten.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BLDG4020.html,4,Built Environment,http://www.be.unsw.edu.au,Building Construction Management Program,http://www.be.unsw.edu.au/,Total Building Performance and Management ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BLDG4020.html
No Enrolment Requirements,(more info),/general/2018/SSAPO/EFTSL.html,Sydney,Undergraduate,BLDG4019,6,This course provides an introduction to property asset management through a consideration of property market analysis; lease and tenancy management; building maintenance and maintenance economics; strata title management; and taxation in property management.,Built Environment,/faculties/2018/blten/blten.html,See Tuition Fee Schedule,https://student.unsw.edu.au/fees-to-pay,See Class Timetable,http://www.timetable.unsw.edu.au/2018/BLDG4019.html,3,Built Environment,http://www.be.unsw.edu.au,Building Construction Management Program,http://www.be.unsw.edu.au/,Property & Asset Management ,http://legacy.handbook.unsw.edu.au/undergraduate/courses/2018/BLDG4019.html
